Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-1800_MY-1600_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.00121e+12 	3.00121e+12
NMSSM_XtoYHto4B_MX-2000_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.00164e+13 	1.00164e+13
NMSSM_XtoYHto4B_MX-2000_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.00168e+13 	1.00168e+13
NMSSM_XtoYHto4B_MX-2000_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.00073e+13 	1.00073e+13
NMSSM_XtoYHto4B_MX-2000_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.00068e+13 	1.00068e+13
NMSSM_XtoYHto4B_MX-2000_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.00027e+13 	1.00027e+13
NMSSM_XtoYHto4B_MX-2000_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.99983e+12 	9.99983e+12
NMSSM_XtoYHto4B_MX-2000_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	64000	9.5377e+12 	9.5377e+12
NMSSM_XtoYHto4B_MX-2000_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.96956e+12 	9.96956e+12
NMSSM_XtoYHto4B_MX-2000_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.92691e+12 	9.92691e+12
NMSSM_XtoYHto4B_MX-2000_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.79931e+12 	9.79931e+12
NMSSM_XtoYHto4B_MX-2000_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.62094e+12 	9.62094e+12
NMSSM_XtoYHto4B_MX-2000_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.38755e+12 	9.38755e+12
NMSSM_XtoYHto4B_MX-2000_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	58000	7.88759e+12 	7.88759e+12
NMSSM_XtoYHto4B_MX-2000_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	67000	8.40196e+12 	8.40196e+12
NMSSM_XtoYHto4B_MX-2000_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	67000	7.48048e+12 	7.48048e+12
NMSSM_XtoYHto4B_MX-2000_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.35778e+12 	6.35778e+12
NMSSM_XtoYHto4B_MX-2000_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	64000	4.79464e+12 	4.79464e+12
