Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-2000-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.49346e+13 	1.49346e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.49268e+13 	1.49268e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-2000-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.48777e+13 	1.48777e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.48093e+13 	1.48093e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.4626e+13 	1.4626e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.43563e+13 	1.43563e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.40143e+13 	1.40143e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.34609e+13 	1.34609e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	5000	6.2699e+11 	6.2699e+11
NMSSM-XtoYHto4B_Par-MX-2000-MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.1169e+13 	1.1169e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	99000	9.39492e+12 	9.39492e+12
NMSSM-XtoYHto4B_Par-MX-2000-MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	99000	7.41049e+12 	7.41049e+12
NMSSM-XtoYHto4B_Par-MX-2000-MY-1600_TuneCP5_13p6TeV_madgraph-pythia8	100000	5.13462e+12 	5.13462e+12
NMSSM-XtoYHto4B_Par-MX-2000-MY-1800_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.22603e+12 	2.22603e+12
NMSSM-XtoYHto4B_Par-MX-2500-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-2500-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.75739e+12 	3.75739e+12
NMSSM-XtoYHto4B_Par-MX-2500-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-2500-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.75601e+12 	3.75601e+12
NMSSM-XtoYHto4B_Par-MX-2500-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	98000	3.68068e+12 	3.68068e+12
NMSSM-XtoYHto4B_Par-MX-2500-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	3.75544e+12 	3.75544e+12
NMSSM-XtoYHto4B_Par-MX-2500-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
